INFO:root:Trial 0: n_fft=8192, hop_length=2730, n_mels=30, n_mfcc=16, MSE=4727.75048828125, Threshold=37.84666419029236
INFO:root:Trial 1: n_fft=4096, hop_length=2048, n_mels=120, n_mfcc=24, MSE=12536.4833984375, Threshold=77.93636745214462
INFO:root:Trial 2: n_fft=512, hop_length=128, n_mels=20, n_mfcc=44, MSE=2523.321533203125, Threshold=59.461931228637695
INFO:root:Trial 3: n_fft=2048, hop_length=682, n_mels=90, n_mfcc=28, MSE=8065.69384765625, Threshold=76.2546591758728
INFO:root:Trial 4: n_fft=256, hop_length=85, n_mels=80, n_mfcc=56, MSE=3585.1767578125, Threshold=85.48142099380493
INFO:root:Trial 5: n_fft=2048, hop_length=512, n_mels=20, n_mfcc=48, MSE=2526.248046875, Threshold=41.90137755870819
INFO:root:Trial 6: n_fft=2048, hop_length=1024, n_mels=30, n_mfcc=44, MSE=2521.1630859375, Threshold=42.36132150888443
INFO:root:Trial 7: n_fft=2048, hop_length=1024, n_mels=110, n_mfcc=56, MSE=4926.24560546875, Threshold=59.94255030155182
INFO:root:Trial 8: n_fft=256, hop_length=85, n_mels=70, n_mfcc=52, MSE=3379.85302734375, Threshold=82.6822772026062
INFO:root:Trial 9: n_fft=256, hop_length=85, n_mels=50, n_mfcc=28, MSE=4489.14697265625, Threshold=93.06568717956543
INFO:root:Trial 10: n_fft=1024, hop_length=512, n_mels=50, n_mfcc=40, MSE=3143.940673828125, Threshold=58.1981737613678
INFO:root:Trial 11: n_fft=512, hop_length=128, n_mels=40, n_mfcc=40, MSE=2516.814697265625, Threshold=61.31804943084717
INFO:root:Trial 12: n_fft=512, hop_length=128, n_mels=40, n_mfcc=36, MSE=2796.458251953125, Threshold=64.44625973701477
INFO:root:Trial 13: n_fft=512, hop_length=256, n_mels=60, n_mfcc=36, MSE=4187.9794921875, Threshold=79.11544466018677
INFO:root:Trial 14: n_fft=8192, hop_length=2048, n_mels=40, n_mfcc=44, MSE=2518.177978515625, Threshold=27.278942465782166
INFO:root:Trial 15: n_fft=8192, hop_length=2048, n_mels=50, n_mfcc=60, MSE=2515.458251953125, Threshold=27.179097414016724
INFO:root:Trial 16: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.172119140625, Threshold=27.092689394950867
INFO:root:Trial 17: n_fft=8192, hop_length=2048, n_mels=90, n_mfcc=60, MSE=3764.22021484375, Threshold=33.347277104854584
INFO:root:Trial 18: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.172119140625, Threshold=27.092689394950867
INFO:root:Trial 19: n_fft=8192, hop_length=2048, n_mels=70, n_mfcc=52, MSE=3380.848876953125, Threshold=31.564340233802795
INFO:root:Trial 20: n_fft=1024, hop_length=256, n_mels=90, n_mfcc=60, MSE=3764.061279296875, Threshold=64.44786548614502
INFO:root:Trial 21: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.172119140625, Threshold=27.092689394950867
INFO:root:Trial 22: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=52, MSE=2899.813232421875, Threshold=29.1781125664711
INFO:root:Trial 23: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=56, MSE=2692.68408203125, Threshold=28.066194593906403
INFO:root:Trial 24: n_fft=4096, hop_length=1365, n_mels=80, n_mfcc=60, MSE=3347.15625, Threshold=39.746211756020784
INFO:root:Trial 25: n_fft=8192, hop_length=2048, n_mels=80, n_mfcc=52, MSE=3862.14208984375, Threshold=33.79467064142227
INFO:root:Trial 26: n_fft=8192, hop_length=2730, n_mels=70, n_mfcc=12, MSE=14647.9140625, Threshold=68.18631410598755
INFO:root:Trial 27: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=48, MSE=3141.46240234375, Threshold=30.409870624542236
INFO:root:Trial 28: n_fft=8192, hop_length=2048, n_mels=100, n_mfcc=56, MSE=4479.69189453125, Threshold=36.396017253398895
INFO:root:Trial 29: n_fft=8192, hop_length=2730, n_mels=50, n_mfcc=20, MSE=6288.57373046875, Threshold=44.15093994140625
